46.8078		59.3539		56.8885
46.0026		59.0878		56.2987
46.4488		58.8581		55.4091
47.3108		58.5007		54.9581
47.273		58.3101		53.9929
47.8842		57.6899		53.5043
48.4093		56.934		53.8173
48.6039		55.9113		53.8511
48.0974		55.1224		54.2585
47.8414		55.0579		53.2735
47.498		54.8254		52.3749
46.7666		55.4026		51.9421
46.3236		55.2384		52.8285
46.3608		54.295		52.4394
46.7956		53.537		52.0001
46.7467		53.283		51.0941
45.91		53.7131		50.6475
45.8677		53.1442		49.8432
45.8716		52.3549		49.2536
45.3398		51.5223		49.2394
45.0945		51.2937		50.194
45.4105		52.2226		50.3138
46.4431		52.2756		50.4062
46.5031		51.3836		49.9806
46.9792		50.4997		49.8844
47.7127		50.3454		49.2904
47.7906		49.3781		49.2906
48.5378		50.0269		49.3881
49.2216		49.4779		48.9888
50.1114		49.0005		49.0747
50.9079		48.4422		48.8733
51.2283		48.1239		48.0336
51.6904		47.3872		47.5889
52.4371		47.2327		48.2087
53.4051		47.0641		48.1739
52.7456		46.398		47.7826
52.6258		45.4832		48.2173
52.8556		45.2917		47.2618
53.5728		44.6592		47.4884
53.4565		43.7156		47.7896
53.5112		43.6409		46.8043
53.2951		42.842		47.4298
53.6913		42.4171		46.6044
54.5057		42.3734		47.1657
55.0629		42.3077		46.3439
54.2676		41.7081		46.2573
53.3045		41.672		45.9925
53.6316		40.7236		46.0339
53.6312		40.4458		47.0081
53.2097		40.0256		46.2157
